OBJECTID,Borough,Type,Provider,Remarks,SSID,Activated,Latitude,Longitude
12,BX,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.850208,-73.821752
13,BX,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.850232,-73.821777
14,BX,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.864437,-73.894553
15,BX,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.864458,-73.895115
16,BX,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.864781,-73.894626
17,BX,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.865167,-73.894227
18,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.650721,-73.968489
19,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.65068,-73.96846
20,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.650738,-73.968429
21,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.6507,-73.965843
22,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.660469,-73.965168
23,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.660842,-73.965121
24,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.661197,-73.965252
25,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.657452,-73.963991
26,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.657452,-73.963991
27,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.657452,-73.963991
28,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.657001,-73.963697
29,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.657001,-73.963697
30,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.657001,-73.963697
31,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.657001,-73.963697
32,BX,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.84459,-73.8598
33,BX,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.84459,-73.8598
34,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.685043,-73.918933
35,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.685032,-73.91907
36,BX,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.887637,-73.835951
37,BX,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.888783,-73.840133
38,BX,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.885284,-73.838521
39,BX,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.886622,-73.83497
40,BX,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.86473,-73.899037
41,BX,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.86473,-73.899037
42,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.674013,-73.934698
43,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.67404,-73.935053
44,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.673801,-73.935166
45,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.67343,-73.93463
46,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.673866,-73.934717
47,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.673805,-73.934785
48,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.673781,-73.935109
49,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.673755,-73.935014
50,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.673727,-73.934867
51,BK,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.673695,-73.934935
52,BX,Limited Free,ALTICEUSA,3 free 10 min sessions,GuestWiFi,2099-01-01,40.811544,-73.914138
53,MN,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.719789,-73.981466
54,MN,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.720005,-73.981438
55,MN,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.812681,-73.939357
56,MN,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.812681,-73.939357
57,MN,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.812681,-73.939357
58,MN,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.812681,-73.939357
59,MN,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.812681,-73.939357
60,MN,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.812681,-73.939357
61,MN,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.812681,-73.939357
62,QU,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.733142,-73.870981
63,QU,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.733186,-73.871128
64,QU,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.742094,-73.961265
65,QU,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.741994,-73.961256
66,BK,Free,NYCHA,Remarks not available,DowntownBrooklynWiFi_Fon,2099-01-01,40.695009,-73.979547
67,BK,Free,NYCHA,Remarks not available,DowntownBrooklynWiFi_Fon,2099-01-01,40.694623,-73.979909
68,BK,Free,NYCHA,Remarks not available,DowntownBrooklynWiFi_Fon,2099-01-01,40.694137,-73.979813
69,BK,Free,NYCHA,Remarks not available,DowntownBrooklynWiFi_Fon,2099-01-01,40.69454,-73.979416
70,BK,Free,NYCHA,Remarks not available,DowntownBrooklynWiFi_Fon,2099-01-01,40.694626,-73.97518
71,BK,Free,NYCHA,Remarks not available,DowntownBrooklynWiFi_Fon,2099-01-01,40.694892,-73.975416
72,BK,Free,NYCHA,Remarks not available,DowntownBrooklynWiFi_Fon,2099-01-01,40.694868,-73.975024
73,BK,Free,NYCHA,Remarks not available,DowntownBrooklynWiFi_Fon,2099-01-01,40.694394,-73.975054
74,BK,Free,NYCHA,Remarks not available,DowntownBrooklynWiFi_Fon,2099-01-01,40.694557,-73.975336
75,BK,Free,NYCHA,Remarks not available,DowntownBrooklynWiFi_Fon,2099-01-01,40.693392,-73.973923
76,BK,Free,NYCHA,Remarks not available,DowntownBrooklynWiFi_Fon,2099-01-01,40.694382,-73.974614
77,BK,Free,NYCHA,Remarks not available,DowntownBrooklynWiFi_Fon,2099-01-01,40.693724,-73.977351
78,BK,Free,NYCHA,Remarks not available,DowntownBrooklynWiFi_Fon,2099-01-01,40.69374,-73.977796
79,BK,Free,NYCHA,Remarks not available,DowntownBrooklynWiFi_Fon,2099-01-01,40.69368,-73.977246
80,BK,Free,NYCHA,Remarks not available,DowntownBrooklynWiFi_Fon,2099-01-01,40.693509,-73.976981
81,BK,Free,NYCHA,Remarks not available,DowntownBrooklynWiFi_Fon,2099-01-01,40.693493,-73.976635
82,BK,Free,NYCHA,Remarks not available,DowntownBrooklynWiFi_Fon,2099-01-01,40.693442,-73.973193
129,MN,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.846889,-73.941333
130,MN,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.846472,-73.941722
131,MN,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.8462,-73.941347
132,MN,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.846444,-73.939981
133,MN,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.846686,-73.940883
134,MN,Free,AT&T,Remarks not available,attwifi,2099-01-01,40.7931,-73.9354
135,QU,Free,AT&T,Remarks not available,attwifi,2099-01-01,40.777,-73.9252
136,QU,Free,AT&T,Remarks not available,attwifi,2099-01-01,40.7221,-73.8466
137,SI,Free,AT&T,Remarks not available,attwifi,2099-01-01,40.6173,-74.1063
138,MN,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.846562,-73.94086
139,MN,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.846383,-73.940706
140,MN,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.824778,-73.942178
141,MN,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.824131,-73.942464
142,MN,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.824131,-73.942464
143,MN,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.824131,-73.942464
144,MN,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.824131,-73.942464
145,SI,Free,AT&T,Remarks not available,attwifi,2099-01-01,40.589,-74.0667
146,MN,Free,AT&T,Remarks not available,attwifi,2099-01-01,40.7148,-74.0028
147,MN,Free,AT&T,Remarks not available,attwifi,2099-01-01,40.7265,-73.9817
148,QU,Limited Free,AT&T,Remarks not available,attwifi,2099-01-01,40.7432,-73.8443
8330,BX,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2099-01-01,40.81738,-73.917078
8331,BX,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2099-01-01,40.818017,-73.916791
8332,BX,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2099-01-01,40.822519,-73.91069
8333,BX,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2099-01-01,40.822338,-73.909427
8334,BX,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2099-01-01,40.812079,-73.92659
8335,BX,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2099-01-01,40.812557,-73.926244
8336,BK,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-10-06,40.689408,-73.988729
8337,BK,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-09-18,40.686177,-73.991014
8338,BK,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-09-18,40.684799,-73.991581
8339,BK,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-09-18,40.684304,-73.992184
8340,BK,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-10-23,40.683436,-73.992773
174,MN,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.824131,-73.942464
175,MN,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.824131,-73.942464
176,QU,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.718812,-73.88536
177,QU,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.720231,-73.877806
178,QU,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.720598,-73.877337
179,QU,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.721026,-73.877935
180,QU,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,2099-01-01,40.71921,-73.885335
181,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.689319,-73.987162
182,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.694693,-73.983849
183,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.694693,-73.983849
184,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.693721,-73.983328
185,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.693721,-73.983328
186,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.69335,-73.985788
187,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.69335,-73.985788
188,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.686371,-73.978541
189,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.686371,-73.978541
190,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.692723,-73.983025
191,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.690406,-73.983931
192,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.690406,-73.983931
193,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.692087,-73.982587
194,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.692087,-73.982587
195,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.69189,-73.982488
196,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.693625,-73.988519
197,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.693636,-73.988347
198,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.693636,-73.988347
199,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.693636,-73.988347
200,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.693636,-73.988347
201,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.693636,-73.988347
202,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.693636,-73.988347
203,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.69401,-73.986706
204,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.69401,-73.986706
205,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.69401,-73.986706
206,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.69401,-73.986706
207,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.69401,-73.986706
208,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.689942,-73.982158
209,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.689942,-73.982158
210,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.691738,-73.988131
211,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.691738,-73.988131
212,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.693348,-73.987419
213,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.692417,-73.987117
214,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.692417,-73.987117
215,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.692417,-73.987117
216,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.692178,-73.988304
217,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.692023,-73.988433
218,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.691976,-73.988311
219,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.692174,-73.988669
220,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.692178,-73.988304
221,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.690364,-73.984435
222,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.690364,-73.984435
223,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.690883,-73.989635
224,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.690883,-73.989635
225,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.689985,-73.991995
226,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.689906,-73.991944
8341,BK,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-09-18,40.68241,-73.993467
8342,BK,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-08-02,40.736913,-73.955453
8343,BK,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-08-23,40.734684,-73.955096
8344,BK,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-08-02,40.732735,-73.954581
231,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.689997,-73.992
232,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.690022,-73.991897
233,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.695578,-73.98397
234,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.689924,-73.988117
235,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.689924,-73.988117
236,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.689319,-73.987162
237,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.690296,-73.987846
238,BK,Free,Downtown Brooklyn,Remarks not available,Downtown Brooklyn WiFi,2099-01-01,40.689319,-73.987162
8345,BK,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2099-01-01,40.722328,-73.949671
8346,BK,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-08-15,40.720111,-73.947627
8347,BK,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-08-15,40.719511,-73.946853
8348,BK,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-08-10,40.711079,-73.943732
247,MN,Free,NYPL,Remarks not available,NYPL,2099-01-01,40.79591999,-73.96784852
248,BX,Free,NYPL,Remarks not available,NYPL,2099-01-01,40.8476919,-73.78636659
249,BK,Free,BPL,Remarks not available,BPLUNWIRED,2099-01-01,40.64220845,-73.89952442
250,BK,Free,BPL,Remarks not available,BPLUNWIRED,2099-01-01,40.58699996,-73.95542836
251,BX,Free,NYPL,Remarks not available,NYPL,2099-01-01,40.90043991,-73.867942
252,BK,Free,BPL,Remarks not available,BPLUNWIRED,2099-01-01,40.67525519,-74.01035129
253,BK,Free,BPL,Remarks not available,BPLUNWIRED,2099-01-01,40.67537085,-73.94856614
254,QU,Free,QPL,Remarks not available,QBPL_WIRELESS,2099-01-01,40.74515052,-73.71483776
255,BX,Free,NYPL,Remarks not available,NYPL,2099-01-01,40.87437981,-73.87838435
256,QU,Free,QPL,Remarks not available,QBPL_WIRELESS,2099-01-01,40.59314678,-73.78404003
257,MN,Free,NYPL,Remarks not available,NYPL,2099-01-01,40.83451521,-73.93967458
258,BK,Free,BPL,Remarks not available,BPLUNWIRED,2099-01-01,40.59135705,-73.92396467
259,BK,Free,BPL,Remarks not available,BPLUNWIRED,2099-01-01,40.72605066,-73.95069029
260,BX,Free,NYPL,Remarks not available,NYPL,2099-01-01,40.84467409,-73.88304469
261,BX,Free,NYPL,Remarks not available,NYPL,2099-01-01,40.81159621,-73.92436634
262,QU,Free,QPL,Remarks not available,QBPL_WIRELESS,2099-01-01,40.70701056,-73.75379667
263,MN,Free,NYPL,Remarks not available,NYPL,2099-01-01,40.77065254,-73.95134169
264,QU,Free,QPL,Remarks not available,QBPL_WIRELESS,2099-01-01,40.69454658,-73.86144646
265,MN,Free,NYPL,Remarks not available,NYPL,2099-01-01,40.76218602,-73.9693817
266,MN,Free,NYPL,Remarks not available,NYPL,2099-01-01,40.72730731,-73.98040767
267,QU,Free,QPL,Remarks not available,QBPL_WIRELESS,2099-01-01,40.77238289,-73.92871881
268,BK,Free,BPL,Remarks not available,BPLUNWIRED,2099-01-01,40.68481005,-73.91513242
269,BX,Free,NYPL,Remarks not available,NYPL,2099-01-01,40.87050192,-73.82865793
270,SI,Free,NYPL,Remarks not available,NYPL,2099-01-01,40.50953112,-74.24410671
271,MN,Free,NYPL,Remarks not available,NYPL,2099-01-01,40.82567237,-73.94803242
272,BX,Free,NYPL,Remarks not available,NYPL,2099-01-01,40.88032228,-73.90798337
273,QU,Free,QPL,Remarks not available,QBPL_WIRELESS,2099-01-01,40.71988555,-73.73904382
274,MN,Free,NYPL,Remarks not available,NYPL,2099-01-01,40.80297988,-73.95353074
275,BX,Free,NYPL,Remarks not available,NYPL,2099-01-01,40.8337363,-73.85835522
276,QU,Free,QPL,Remarks not available,QBPL_WIRELESS,2099-01-01,40.72591849,-73.82071907
277,MN,Free,NYPL,Remarks not available,NYPL,2099-01-01,40.7859598,-73.95180567
278,MN,Free,NYPL,Remarks not available,NYPL,2099-01-01,40.76493462,-73.99122082
279,SI,Free,NYPL,Remarks not available,NYPL,2099-01-01,40.62623761,-74.07784609
280,QU,Free,QPL,Remarks not available,QBPL_WIRELESS,2099-01-01,40.76822543,-73.73822944
281,MN,Free,NYPL,Remarks not available,NYPL,2099-01-01,40.75189156,-73.98169851
282,SI,Free,NYPL,Remarks not available,NYPL,2099-01-01,40.63758562,-74.13110462
283,BK,Free,BPL,Remarks not available,BPLUNWIRED,2099-01-01,40.67270609,-73.87403349
284,QU,Free,QPL,Remarks not available,QBPL_WIRELESS,2099-01-01,40.7552002,-73.94422389
285,BK,Free,BPL,Remarks not available,BPLUNWIRED,2099-01-01,40.69748225,-73.91221062
286,SI,Free,NYPL,Remarks not available,NYPL,2099-01-01,40.59581815,-74.06298047
287,BK,Free,BPL,Remarks not available,BPLUNWIRED,2099-01-01,40.59523686,-73.96059937
288,BK,Free,BPL,Remarks not available,BPLUNWIRED,2099-01-01,40.6292121,-74.01186967
289,QU,Free,QPL,Remarks not available,QBPL_WIRELESS,2099-01-01,40.74706242,-73.94424368
290,BK,Free,BPL,Remarks not available,BPLUNWIRED,2099-01-01,40.63574128,-73.94762003
291,QU,Free,QPL,Remarks not available,QBPL_WIRELESS,2099-01-01,40.78624914,-73.84601328
292,QU,Free,QPL,Remarks not available,QBPL_WIRELESS,2099-01-01,40.72214695,-73.843015
293,SI,Free,NYPL,Remarks not available,NYPL,2099-01-01,40.64178537,-74.07664577
